time,Overall_usage
2016-01-01,1.1984820321754386
2016-01-02,1.28577851851875
2016-01-03,1.1466167592465277
2016-01-04,1.0421430671284722
2016-01-05,1.1097006018527777
2016-01-06,0.8800435416715278
2016-01-07,0.9641973263958333
2016-01-08,1.1005918287104168
2016-01-09,0.9053527083451388
2016-01-10,1.1375998727055554
2016-01-11,1.1081119560069443
2016-01-12,1.0877071990659724
2016-01-13,1.0578351273263888
2016-01-14,0.9724524999951389
2016-01-15,0.8496637037090278
2016-01-16,1.011318564817361
2016-01-17,1.1111956712930555
2016-01-18,1.5593578935298613
2016-01-19,1.3382343171298612
2016-01-20,0.9473726041520834
2016-01-21,0.8719778356173611
2016-01-22,0.9721011458375
2016-01-23,1.2579645717597223
2016-01-24,1.0017930902875
2016-01-25,0.91951716434375
2016-01-26,1.0258851851777777
2016-01-27,0.6896532407409722
2016-01-28,0.9428271296284721
2016-01-29,0.9469868287277778
2016-01-30,0.8593264699125
2016-01-31,1.0702239930604167
2016-02-01,1.0335045486166667
2016-02-02,0.725450081020139
2016-02-03,0.7890359606562499
2016-02-04,0.5847812731631944
2016-02-05,0.8725632638868055
2016-02-06,0.8237357523215277
2016-02-07,0.7391297916611111
2016-02-08,1.480770555551389
2016-02-09,1.0112735300875
2016-02-10,0.8985400810069444
2016-02-11,1.060138819442361
2016-02-12,1.2751893518423612
2016-02-13,1.2780207407298612
2016-02-14,1.1645497916611112
2016-02-15,1.5418982638840277
2016-02-16,1.1777094676013888
2016-02-17,0.9822321643548612
2016-02-18,0.9849762268479166
2016-02-19,1.0611342361229168
2016-02-20,0.9691228588083334
2016-02-21,0.8020214120402778
2016-02-22,1.1009703588027777
2016-02-23,1.0006052546243054
2016-02-24,0.9034635763916666
2016-02-25,0.8292913541576389
2016-02-26,0.8825049421347223
2016-02-27,0.9379307407416667
2016-02-28,0.8165140972159722
2016-02-29,1.132688217590278
2016-03-01,0.6870585995451388
2016-03-02,0.6799252777708333
2016-03-03,0.9089818286986111
2016-03-04,0.8821414814972223
2016-03-05,0.8234471412104167
2016-03-06,0.5761119444652778
2016-03-07,1.09048878471875
2016-03-08,0.6163188888979166
2016-03-09,0.5457191550972222
2016-03-10,0.59749586805
2016-03-11,0.4990342013854167
2016-03-12,0.5765838310159722
2016-03-13,0.6307640740881945
2016-03-14,0.8113348032284722
2016-03-15,0.8672173611104166
2016-03-16,0.62243579861875
2016-03-17,0.6743073611208333
2016-03-18,0.8457849884124999
2016-03-19,0.9034621643506944
2016-03-20,0.9295357638826388
2016-03-21,0.8805171527805555
2016-03-22,0.7892978009340278
2016-03-23,0.6886768055638889
2016-03-24,0.6509664583388889
2016-03-25,0.74003324074375
2016-03-26,1.0764832986055555
2016-03-27,0.8262192476909722
2016-03-28,0.8642871296375
2016-03-29,0.8473684837965278
2016-03-30,0.6975507407416667
2016-03-31,0.8002287152569445
2016-04-01,0.6116993402881945
2016-04-02,0.7345889120354167
2016-04-03,1.0503285185145834
2016-04-04,1.3056662036881943
2016-04-05,0.9667692592472222
2016-04-06,0.7372676620493056
2016-04-07,0.7692952893472222
2016-04-08,0.6775671990638888
2016-04-09,0.7737095023104167
2016-04-10,0.7681762268451389
2016-04-11,0.9834420601854167
2016-04-12,0.7670600926048612
2016-04-13,0.6224249652715278
2016-04-14,0.7330484606381944
2016-04-15,0.5501193171333333
2016-04-16,0.3579576736173611
2016-04-17,0.51267688656875
2016-04-18,0.6019343287111111
2016-04-19,0.6630951504493056
2016-04-20,0.43026179397916664
2016-04-21,0.43403967594027776
2016-04-22,0.5174334837951389
2016-04-23,0.5320454050979166
2016-04-24,0.5159059143569444
2016-04-25,0.7524259259340279
2016-04-26,0.7532182638847222
2016-04-27,0.5273613078819445
2016-04-28,0.6143107986013889
2016-04-29,0.65080471064375
2016-04-30,0.6845642129659721
2016-05-01,0.8865859143493056
2016-05-02,0.8264162615694444
2016-05-03,0.640293043975
2016-05-04,0.6624009259319444
2016-05-05,0.6758659837930555
2016-05-06,0.7733708680645833
2016-05-07,0.8312518055555556
2016-05-08,0.8965590856465279
2016-05-09,0.7059764814791667
2016-05-10,0.6818121527770833
2016-05-11,0.3472948032527778
2016-05-12,0.5067022453875
2016-05-13,0.8173663078701389
2016-05-14,0.3420099536944444
2016-05-15,0.5760429629756945
2016-05-16,1.0736815740701389
2016-05-17,0.6174357291576389
2016-05-18,0.6556299074173612
2016-05-19,0.498789189825
2016-05-20,0.5819509837993055
2016-05-21,0.38090042824097226
2016-05-22,0.32201212963125
2016-05-23,0.5215530208416667
2016-05-24,0.5470871874930556
2016-05-25,0.30683135417083335
2016-05-26,0.31829533563958334
2016-05-27,0.34473862269791666
2016-05-28,0.33501423612013886
2016-05-29,0.3634070717590278
2016-05-30,0.36100986111319444
2016-05-31,0.3453556481611111
2016-06-01,0.5079004051006945
2016-06-02,0.5093260069472223
2016-06-03,0.5542092129569445
2016-06-04,0.6848489467638889
2016-06-05,1.04086600694375
2016-06-06,0.6838332407395834
2016-06-07,0.5798790625069444
2016-06-08,0.6277502083305555
2016-06-09,0.5472323032465277
2016-06-10,0.5032993171472222
2016-06-11,0.3536754976979167
2016-06-12,0.29696783567430557
2016-06-13,0.5011020254659723
2016-06-14,0.49811437496874994
2016-06-15,0.48831341435972225
2016-06-16,0.48316168981874996
2016-06-17,0.5697798611222222
2016-06-18,0.5821101041652779
2016-06-19,0.5614378935152777
2016-06-20,0.4661146064659722
2016-06-21,0.5495890740736111
2016-06-22,0.4047544328694444
2016-06-23,0.5635030208305556
2016-06-24,0.5490734953784723
